nohup: 忽略输入
train epoch samples 26208
Class 0: Precision=0.0000, Recall=0.0000, F1=0.0000
Class 9: Precision=0.5522, Recall=0.3426, F1=0.4229
Class 10: Precision=0.6725, Recall=0.5324, F1=0.5943
Class 11: Precision=0.0000, Recall=0.0000, F1=0.0000
Class 12: Precision=0.0000, Recall=0.0000, F1=0.0000
Class 13: Precision=0.7670, Recall=0.3657, F1=0.4953
Class 14: Precision=0.5669, Recall=0.7682, F1=0.6523
{'eval_loss': 1.3218716382980347, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.5906084656084656, 'eval_binary_accuracy': 0.5906084656084656, 'eval_precision': 0.5382246987340942, 'eval_micro_precision': 0.5906084656084656, 'eval_recall': 0.43670634920634915, 'eval_micro_recall': 0.5906084656084656, 'eval_f1': 0.4570789262165698, 'eval_micro_f1': 0.5906084656084656, 'eval_runtime': 6.6739, 'eval_samples_per_second': 906.221, 'eval_steps_per_second': 3.596, 'epoch': 2.0}
Class 0: Precision=0.6579, Recall=0.8102, F1=0.7261
Class 1: Precision=0.5562, Recall=0.8472, F1=0.6716
Class 2: Precision=0.6162, Recall=0.8102, F1=0.7000
Class 3: Precision=0.6154, Recall=0.7778, F1=0.6871
Class 4: Precision=0.7256, Recall=0.5509, F1=0.6263
Class 5: Precision=0.6577, Recall=0.7917, F1=0.7185
Class 6: Precision=0.5813, Recall=0.8935, F1=0.7044
Class 7: Precision=0.5574, Recall=0.6065, F1=0.5809
Class 8: Precision=0.5870, Recall=0.7500, F1=0.6585
Class 9: Precision=0.5567, Recall=0.7269, F1=0.6305
Class 10: Precision=0.6653, Recall=0.7546, F1=0.7072
Class 11: Precision=0.6791, Recall=0.6759, F1=0.6775
Class 12: Precision=0.5735, Recall=0.9213, F1=0.7069
Class 13: Precision=0.5814, Recall=0.8102, F1=0.6770
Class 14: Precision=0.6842, Recall=0.5066, F1=0.5822
{'eval_loss': 1.0620838403701782, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.6364087301587301, 'eval_binary_accuracy': 0.6364087301587301, 'eval_precision': 0.619664541716038, 'eval_micro_precision': 0.6364087301587301, 'eval_recall': 0.7488977072310405, 'eval_micro_recall': 0.6364087301587301, 'eval_f1': 0.6703153162883668, 'eval_micro_f1': 0.6364087301587301, 'eval_runtime': 6.6575, 'eval_samples_per_second': 908.443, 'eval_steps_per_second': 3.605, 'epoch': 3.0}
Class 0: Precision=0.7266, Recall=0.4306, F1=0.5407
Class 1: Precision=0.6078, Recall=0.7963, F1=0.6894
Class 2: Precision=0.6523, Recall=0.7731, F1=0.7076
Class 3: Precision=0.6270, Recall=0.7083, F1=0.6652
Class 4: Precision=0.6000, Recall=0.9167, F1=0.7253
Class 5: Precision=0.7228, Recall=0.6157, F1=0.6650
Class 6: Precision=0.7319, Recall=0.4676, F1=0.5706
Class 7: Precision=0.5900, Recall=0.7130, F1=0.6457
Class 8: Precision=0.5964, Recall=0.7731, F1=0.6734
Class 9: Precision=0.5133, Recall=0.9815, F1=0.6741
Class 10: Precision=0.6237, Recall=0.8287, F1=0.7117
Class 11: Precision=0.7974, Recall=0.5648, F1=0.6612
Class 12: Precision=0.6145, Recall=0.7824, F1=0.6884
Class 13: Precision=0.6683, Recall=0.6250, F1=0.6459
Class 14: Precision=0.6676, Recall=0.5771, F1=0.6190
{'eval_loss': 0.9705445766448975, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.6448412698412699, 'eval_binary_accuracy': 0.6448412698412699, 'eval_precision': 0.6493149391177434, 'eval_micro_precision': 0.6448412698412699, 'eval_recall': 0.7035934744268076, 'eval_micro_recall': 0.6448412698412699, 'eval_f1': 0.6588871007979941, 'eval_micro_f1': 0.6448412698412699, 'eval_runtime': 7.0225, 'eval_samples_per_second': 861.229, 'eval_steps_per_second': 3.418, 'epoch': 4.0}
{'loss': 2.3888, 'learning_rate': 3e-05, 'epoch': 4.81}
Class 0: Precision=0.6000, Recall=0.8611, F1=0.7072
Class 1: Precision=0.6341, Recall=0.8426, F1=0.7237
Class 2: Precision=0.7302, Recall=0.6389, F1=0.6815
Class 3: Precision=0.6589, Recall=0.6528, F1=0.6558
Class 4: Precision=0.6642, Recall=0.8333, F1=0.7392
Class 5: Precision=0.8151, Recall=0.5509, F1=0.6575
Class 6: Precision=0.6076, Recall=0.8102, F1=0.6944
Class 7: Precision=0.6436, Recall=0.5602, F1=0.5990
Class 8: Precision=0.5952, Recall=0.9120, F1=0.7203
Class 9: Precision=0.6683, Recall=0.6157, F1=0.6410
Class 10: Precision=0.6458, Recall=0.8611, F1=0.7381
Class 11: Precision=0.6947, Recall=0.7269, F1=0.7104
Class 12: Precision=0.6359, Recall=0.6389, F1=0.6374
Class 13: Precision=0.6758, Recall=0.6852, F1=0.6805
Class 14: Precision=0.6923, Recall=0.6124, F1=0.6499
{'eval_loss': 0.8606489300727844, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.6701388888888888, 'eval_binary_accuracy': 0.6701388888888888, 'eval_precision': 0.6641217551999566, 'eval_micro_precision': 0.6701388888888888, 'eval_recall': 0.7201499118165785, 'eval_micro_recall': 0.6701388888888888, 'eval_f1': 0.682392068760921, 'eval_micro_f1': 0.6701388888888888, 'eval_runtime': 6.7312, 'eval_samples_per_second': 898.499, 'eval_steps_per_second': 3.565, 'epoch': 5.0}
Class 0: Precision=0.6307, Recall=0.8380, F1=0.7197
Class 1: Precision=0.6642, Recall=0.8426, F1=0.7429
Class 2: Precision=0.6951, Recall=0.7176, F1=0.7062
Class 3: Precision=0.5758, Recall=0.8796, F1=0.6960
Class 4: Precision=0.6106, Recall=0.9583, F1=0.7459
Class 5: Precision=0.7790, Recall=0.6528, F1=0.7103
Class 6: Precision=0.6281, Recall=0.8287, F1=0.7146
Class 7: Precision=0.5925, Recall=0.8750, F1=0.7065
Class 8: Precision=0.7324, Recall=0.7222, F1=0.7273
Class 9: Precision=0.6562, Recall=0.7778, F1=0.7119
Class 10: Precision=0.7558, Recall=0.7593, F1=0.7575
Class 11: Precision=0.6898, Recall=0.7824, F1=0.7332
Class 12: Precision=0.6304, Recall=0.7500, F1=0.6850
Class 13: Precision=0.6778, Recall=0.7500, F1=0.7121
Class 14: Precision=0.7402, Recall=0.5833, F1=0.6525
{'eval_loss': 0.9000851511955261, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.689318783068783, 'eval_binary_accuracy': 0.689318783068783, 'eval_precision': 0.6705673734988103, 'eval_micro_precision': 0.689318783068783, 'eval_recall': 0.7811728395061729, 'eval_micro_recall': 0.689318783068783, 'eval_f1': 0.7147628593753219, 'eval_micro_f1': 0.689318783068783, 'eval_runtime': 6.7396, 'eval_samples_per_second': 897.383, 'eval_steps_per_second': 3.561, 'epoch': 6.0}
Class 0: Precision=0.6038, Recall=0.8750, F1=0.7146
Class 1: Precision=0.5845, Recall=0.9444, F1=0.7221
Class 2: Precision=0.7895, Recall=0.6250, F1=0.6977
Class 3: Precision=0.6326, Recall=0.7731, F1=0.6958
Class 4: Precision=0.6227, Recall=0.9398, F1=0.7491
Class 5: Precision=0.7119, Recall=0.7778, F1=0.7434
Class 6: Precision=0.7075, Recall=0.6944, F1=0.7009
Class 7: Precision=0.6403, Recall=0.7500, F1=0.6908
Class 8: Precision=0.6126, Recall=0.9444, F1=0.7432
Class 9: Precision=0.6327, Recall=0.8611, F1=0.7294
Class 10: Precision=0.6848, Recall=0.8750, F1=0.7683
Class 11: Precision=0.7431, Recall=0.7500, F1=0.7465
Class 12: Precision=0.6025, Recall=0.8843, F1=0.7167
Class 13: Precision=0.6421, Recall=0.8472, F1=0.7305
Class 14: Precision=0.7587, Recall=0.5522, F1=0.6392
{'eval_loss': 0.9300621151924133, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.6883267195767195, 'eval_binary_accuracy': 0.6883267195767195, 'eval_precision': 0.6646253461629994, 'eval_micro_precision': 0.6883267195767195, 'eval_recall': 0.8062610229276895, 'eval_micro_recall': 0.6883267195767195, 'eval_f1': 0.7192188535588512, 'eval_micro_f1': 0.6883267195767195, 'eval_runtime': 6.7534, 'eval_samples_per_second': 895.55, 'eval_steps_per_second': 3.554, 'epoch': 7.0}
Class 0: Precision=0.6466, Recall=0.8472, F1=0.7335
Class 1: Precision=0.6828, Recall=0.8472, F1=0.7562
Class 2: Precision=0.6466, Recall=0.8472, F1=0.7335
Class 3: Precision=0.6739, Recall=0.7176, F1=0.6951
Class 4: Precision=0.6152, Recall=0.9398, F1=0.7436
Class 5: Precision=0.7253, Recall=0.7824, F1=0.7528
Class 6: Precision=0.7028, Recall=0.6898, F1=0.6963
Class 7: Precision=0.6447, Recall=0.8148, F1=0.7198
Class 8: Precision=0.7454, Recall=0.7454, F1=0.7454
Class 9: Precision=0.6905, Recall=0.6713, F1=0.6808
Class 10: Precision=0.7696, Recall=0.7269, F1=0.7476
Class 11: Precision=0.7947, Recall=0.5556, F1=0.6540
Class 12: Precision=0.6185, Recall=0.7731, F1=0.6872
Class 13: Precision=0.6707, Recall=0.7731, F1=0.7183
Class 14: Precision=0.7322, Recall=0.6382, F1=0.6820
{'eval_loss': 0.9197268486022949, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.7023809523809523, 'eval_binary_accuracy': 0.7023809523809523, 'eval_precision': 0.6906369943362635, 'eval_micro_precision': 0.7023809523809523, 'eval_recall': 0.7579805996472664, 'eval_micro_recall': 0.7023809523809523, 'eval_f1': 0.7163909321761769, 'eval_micro_f1': 0.7023809523809523, 'eval_runtime': 6.6912, 'eval_samples_per_second': 903.879, 'eval_steps_per_second': 3.587, 'epoch': 8.0}
Class 0: Precision=0.6421, Recall=0.8889, F1=0.7456
Class 1: Precision=0.7015, Recall=0.8704, F1=0.7769
Class 2: Precision=0.6332, Recall=0.8472, F1=0.7248
Class 3: Precision=0.7407, Recall=0.6481, F1=0.6914
Class 4: Precision=0.6440, Recall=0.9213, F1=0.7581
Class 5: Precision=0.7668, Recall=0.6852, F1=0.7237
Class 6: Precision=0.6831, Recall=0.7685, F1=0.7233
Class 7: Precision=0.6856, Recall=0.7269, F1=0.7056
Class 8: Precision=0.7511, Recall=0.7963, F1=0.7730
Class 9: Precision=0.6502, Recall=0.7917, F1=0.7140
Class 10: Precision=0.6800, Recall=0.8657, F1=0.7617
Class 11: Precision=0.7246, Recall=0.7917, F1=0.7566
Class 12: Precision=0.6431, Recall=0.8009, F1=0.7134
Class 13: Precision=0.6536, Recall=0.8472, F1=0.7379
Class 14: Precision=0.7602, Recall=0.6227, F1=0.6846
{'eval_loss': 0.9205197095870972, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.7131283068783069, 'eval_binary_accuracy': 0.7131283068783069, 'eval_precision': 0.6906604753676827, 'eval_micro_precision': 0.7131283068783069, 'eval_recall': 0.7915123456790122, 'eval_micro_recall': 0.7131283068783069, 'eval_f1': 0.732707963151724, 'eval_micro_f1': 0.7131283068783069, 'eval_runtime': 6.7348, 'eval_samples_per_second': 898.028, 'eval_steps_per_second': 3.564, 'epoch': 9.0}
{'loss': 0.6812, 'learning_rate': 2.4274809160305344e-05, 'epoch': 9.62}
Class 0: Precision=0.6548, Recall=0.8519, F1=0.7404
Class 1: Precision=0.7092, Recall=0.8241, F1=0.7623
Class 2: Precision=0.6548, Recall=0.8519, F1=0.7404
Class 3: Precision=0.7051, Recall=0.7083, F1=0.7067
Class 4: Precision=0.6888, Recall=0.7685, F1=0.7265
Class 5: Precision=0.7730, Recall=0.6620, F1=0.7132
Class 6: Precision=0.6224, Recall=0.8472, F1=0.7176
Class 7: Precision=0.6267, Recall=0.8704, F1=0.7287
Class 8: Precision=0.7839, Recall=0.7222, F1=0.7518
Class 9: Precision=0.6241, Recall=0.8380, F1=0.7154
Class 10: Precision=0.7443, Recall=0.7546, F1=0.7494
Class 11: Precision=0.7816, Recall=0.7454, F1=0.7630
Class 12: Precision=0.6107, Recall=0.8426, F1=0.7082
Class 13: Precision=0.6400, Recall=0.8889, F1=0.7442
Class 14: Precision=0.7546, Recall=0.6204, F1=0.6809
{'eval_loss': 0.9211598634719849, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.7093253968253969, 'eval_binary_accuracy': 0.7093253968253969, 'eval_precision': 0.6915995757546483, 'eval_micro_precision': 0.7093253968253969, 'eval_recall': 0.7864197530864199, 'eval_micro_recall': 0.7093253968253969, 'eval_f1': 0.7299266879410166, 'eval_micro_f1': 0.7093253968253969, 'eval_runtime': 6.7528, 'eval_samples_per_second': 895.624, 'eval_steps_per_second': 3.554, 'epoch': 10.0}
Class 0: Precision=0.6853, Recall=0.7963, F1=0.7366
Class 1: Precision=0.7284, Recall=0.7824, F1=0.7545
Class 2: Precision=0.7513, Recall=0.6852, F1=0.7167
Class 3: Precision=0.7240, Recall=0.6435, F1=0.6814
Class 4: Precision=0.6955, Recall=0.7824, F1=0.7364
Class 5: Precision=0.7383, Recall=0.7315, F1=0.7349
Class 6: Precision=0.6565, Recall=0.7963, F1=0.7197
Class 7: Precision=0.7005, Recall=0.7037, F1=0.7021
Class 8: Precision=0.6690, Recall=0.8889, F1=0.7634
Class 9: Precision=0.6933, Recall=0.7222, F1=0.7075
Class 10: Precision=0.7232, Recall=0.7500, F1=0.7364
Class 11: Precision=0.7578, Recall=0.7824, F1=0.7699
Class 12: Precision=0.6282, Recall=0.8056, F1=0.7059
Class 13: Precision=0.6992, Recall=0.7639, F1=0.7301
Class 14: Precision=0.7374, Recall=0.6749, F1=0.7048
{'eval_loss': 0.9266289472579956, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.7172619047619048, 'eval_binary_accuracy': 0.7172619047619048, 'eval_precision': 0.7058484382804882, 'eval_micro_precision': 0.7172619047619048, 'eval_recall': 0.7539462081128749, 'eval_micro_recall': 0.7172619047619048, 'eval_f1': 0.7266736888935108, 'eval_micro_f1': 0.7172619047619048, 'eval_runtime': 6.732, 'eval_samples_per_second': 898.39, 'eval_steps_per_second': 3.565, 'epoch': 11.0}
Class 0: Precision=0.6791, Recall=0.8426, F1=0.7521
Class 1: Precision=0.6503, Recall=0.9213, F1=0.7625
Class 2: Precision=0.7269, Recall=0.7269, F1=0.7269
Class 3: Precision=0.6946, Recall=0.7685, F1=0.7297
Class 4: Precision=0.6680, Recall=0.8009, F1=0.7284
Class 5: Precision=0.7273, Recall=0.7407, F1=0.7339
Class 6: Precision=0.6693, Recall=0.7963, F1=0.7273
Class 7: Precision=0.6589, Recall=0.7870, F1=0.7173
Class 8: Precision=0.7061, Recall=0.8565, F1=0.7741
Class 9: Precision=0.6872, Recall=0.7222, F1=0.7043
Class 10: Precision=0.7328, Recall=0.7870, F1=0.7589
Class 11: Precision=0.7183, Recall=0.8380, F1=0.7735
Class 12: Precision=0.6786, Recall=0.7037, F1=0.6909
Class 13: Precision=0.6822, Recall=0.6759, F1=0.6791
Class 14: Precision=0.7494, Recall=0.6478, F1=0.6949
{'eval_loss': 0.9185611605644226, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.7156084656084656, 'eval_binary_accuracy': 0.7156084656084656, 'eval_precision': 0.695255355693275, 'eval_micro_precision': 0.7156084656084656, 'eval_recall': 0.7743606701940036, 'eval_micro_recall': 0.7156084656084656, 'eval_f1': 0.7302443477009841, 'eval_micro_f1': 0.7156084656084656, 'eval_runtime': 6.7163, 'eval_samples_per_second': 900.501, 'eval_steps_per_second': 3.573, 'epoch': 12.0}
Class 0: Precision=0.6759, Recall=0.7917, F1=0.7292
Class 1: Precision=0.7213, Recall=0.8148, F1=0.7652
Class 2: Precision=0.6897, Recall=0.7407, F1=0.7143
Class 3: Precision=0.6867, Recall=0.7917, F1=0.7355
Class 4: Precision=0.6560, Recall=0.7593, F1=0.7039
Class 5: Precision=0.7972, Recall=0.5278, F1=0.6351
Class 6: Precision=0.6853, Recall=0.7963, F1=0.7366
Class 7: Precision=0.6324, Recall=0.7963, F1=0.7049
Class 8: Precision=0.7489, Recall=0.7870, F1=0.7675
Class 9: Precision=0.6546, Recall=0.7546, F1=0.7011
Class 10: Precision=0.6988, Recall=0.8380, F1=0.7621
Class 11: Precision=0.7534, Recall=0.7778, F1=0.7654
Class 12: Precision=0.6452, Recall=0.7407, F1=0.6897
Class 13: Precision=0.6808, Recall=0.6713, F1=0.6760
Class 14: Precision=0.7305, Recall=0.6607, F1=0.6939
{'eval_loss': 0.9877797365188599, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.7084986772486772, 'eval_binary_accuracy': 0.7084986772486772, 'eval_precision': 0.6971054916518415, 'eval_micro_precision': 0.7084986772486772, 'eval_recall': 0.7499118165784834, 'eval_micro_recall': 0.7084986772486772, 'eval_f1': 0.7186840005317066, 'eval_micro_f1': 0.7084986772486772, 'eval_runtime': 6.7668, 'eval_samples_per_second': 893.769, 'eval_steps_per_second': 3.547, 'epoch': 13.0}
Class 0: Precision=0.7297, Recall=0.7500, F1=0.7397
Class 1: Precision=0.6898, Recall=0.8750, F1=0.7714
Class 2: Precision=0.6955, Recall=0.7824, F1=0.7364
Class 3: Precision=0.7294, Recall=0.7361, F1=0.7327
Class 4: Precision=0.6483, Recall=0.8704, F1=0.7431
Class 5: Precision=0.7253, Recall=0.7824, F1=0.7528
Class 6: Precision=0.6580, Recall=0.8194, F1=0.7299
Class 7: Precision=0.6447, Recall=0.8148, F1=0.7198
Class 8: Precision=0.7216, Recall=0.8519, F1=0.7813
Class 9: Precision=0.6492, Recall=0.7454, F1=0.6940
Class 10: Precision=0.7197, Recall=0.7963, F1=0.7560
Class 11: Precision=0.7500, Recall=0.7778, F1=0.7636
Class 12: Precision=0.6118, Recall=0.8611, F1=0.7154
Class 13: Precision=0.6694, Recall=0.7500, F1=0.7074
Class 14: Precision=0.7605, Recall=0.6323, F1=0.6905
{'eval_loss': 1.0169495344161987, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.7166005291005291, 'eval_binary_accuracy': 0.7166005291005291, 'eval_precision': 0.6935235181521852, 'eval_micro_precision': 0.7166005291005291, 'eval_recall': 0.7896825396825398, 'eval_micro_recall': 0.7166005291005291, 'eval_f1': 0.7356086386011641, 'eval_micro_f1': 0.7166005291005291, 'eval_runtime': 6.7354, 'eval_samples_per_second': 897.936, 'eval_steps_per_second': 3.563, 'epoch': 14.0}
{'loss': 0.4152, 'learning_rate': 1.8549618320610687e-05, 'epoch': 14.42}
Class 0: Precision=0.6731, Recall=0.8102, F1=0.7353
Class 1: Precision=0.6751, Recall=0.8657, F1=0.7586
Class 2: Precision=0.7273, Recall=0.7037, F1=0.7153
Class 3: Precision=0.7143, Recall=0.7176, F1=0.7159
Class 4: Precision=0.6867, Recall=0.7407, F1=0.7127
Class 5: Precision=0.7008, Recall=0.8241, F1=0.7574
Class 6: Precision=0.6815, Recall=0.7824, F1=0.7284
Class 7: Precision=0.6625, Recall=0.7361, F1=0.6974
Class 8: Precision=0.7458, Recall=0.8287, F1=0.7851
Class 9: Precision=0.6482, Recall=0.7593, F1=0.6994
Class 10: Precision=0.7034, Recall=0.7685, F1=0.7345
Class 11: Precision=0.7453, Recall=0.7315, F1=0.7383
Class 12: Precision=0.5956, Recall=0.8796, F1=0.7103
Class 13: Precision=0.6733, Recall=0.7824, F1=0.7238
Class 14: Precision=0.7449, Recall=0.6402, F1=0.6886
{'eval_loss': 1.0854957103729248, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.7104828042328042, 'eval_binary_accuracy': 0.7104828042328042, 'eval_precision': 0.6918471587259681, 'eval_micro_precision': 0.7104828042328042, 'eval_recall': 0.7713844797178132, 'eval_micro_recall': 0.7104828042328042, 'eval_f1': 0.7267354157498092, 'eval_micro_f1': 0.7104828042328042, 'eval_runtime': 6.764, 'eval_samples_per_second': 894.142, 'eval_steps_per_second': 3.548, 'epoch': 15.0}
Class 0: Precision=0.6887, Recall=0.8194, F1=0.7484
Class 1: Precision=0.7220, Recall=0.8056, F1=0.7615
Class 2: Precision=0.6942, Recall=0.7778, F1=0.7336
Class 3: Precision=0.7109, Recall=0.6944, F1=0.7026
Class 4: Precision=0.6736, Recall=0.7546, F1=0.7118
Class 5: Precision=0.7173, Recall=0.7870, F1=0.7506
Class 6: Precision=0.6667, Recall=0.8148, F1=0.7333
Class 7: Precision=0.6513, Recall=0.7870, F1=0.7128
Class 8: Precision=0.7308, Recall=0.7917, F1=0.7600
Class 9: Precision=0.6534, Recall=0.7593, F1=0.7024
Class 10: Precision=0.7277, Recall=0.7546, F1=0.7409
Class 11: Precision=0.7598, Recall=0.7176, F1=0.7381
Class 12: Precision=0.6324, Recall=0.7963, F1=0.7049
Class 13: Precision=0.6519, Recall=0.8148, F1=0.7243
Class 14: Precision=0.7441, Recall=0.6491, F1=0.6934
{'eval_loss': 1.1247563362121582, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.7129629629629629, 'eval_binary_accuracy': 0.7129629629629629, 'eval_precision': 0.694976751467878, 'eval_micro_precision': 0.7129629629629629, 'eval_recall': 0.7682760141093474, 'eval_micro_recall': 0.7129629629629629, 'eval_f1': 0.7279012658899282, 'eval_micro_f1': 0.7129629629629629, 'eval_runtime': 6.7431, 'eval_samples_per_second': 896.922, 'eval_steps_per_second': 3.559, 'epoch': 16.0}
Class 0: Precision=0.7137, Recall=0.7500, F1=0.7314
Class 1: Precision=0.7477, Recall=0.7685, F1=0.7580
Class 2: Precision=0.7344, Recall=0.6528, F1=0.6912
Class 3: Precision=0.6784, Recall=0.8009, F1=0.7346
Class 4: Precision=0.6387, Recall=0.8102, F1=0.7143
Class 5: Precision=0.7442, Recall=0.7407, F1=0.7425
Class 6: Precision=0.6341, Recall=0.8426, F1=0.7237
Class 7: Precision=0.6948, Recall=0.6852, F1=0.6900
Class 8: Precision=0.7545, Recall=0.7685, F1=0.7615
Class 9: Precision=0.6624, Recall=0.7269, F1=0.6932
Class 10: Precision=0.7249, Recall=0.7685, F1=0.7461
Class 11: Precision=0.7348, Recall=0.7824, F1=0.7578
Class 12: Precision=0.6342, Recall=0.7546, F1=0.6892
Class 13: Precision=0.6952, Recall=0.6759, F1=0.6854
Class 14: Precision=0.7302, Recall=0.6713, F1=0.6995
{'eval_loss': 1.1296075582504272, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.7116402116402116, 'eval_binary_accuracy': 0.7116402116402116, 'eval_precision': 0.7014950684071233, 'eval_micro_precision': 0.7116402116402116, 'eval_recall': 0.7466049382716048, 'eval_micro_recall': 0.7116402116402116, 'eval_f1': 0.7212168199566349, 'eval_micro_f1': 0.7116402116402116, 'eval_runtime': 6.8137, 'eval_samples_per_second': 887.621, 'eval_steps_per_second': 3.522, 'epoch': 17.0}
Class 0: Precision=0.7018, Recall=0.7407, F1=0.7207
Class 1: Precision=0.7454, Recall=0.7454, F1=0.7454
Class 2: Precision=0.7304, Recall=0.6898, F1=0.7095
Class 3: Precision=0.7405, Recall=0.6343, F1=0.6833
Class 4: Precision=0.6429, Recall=0.8333, F1=0.7258
Class 5: Precision=0.7269, Recall=0.7639, F1=0.7449
Class 6: Precision=0.6888, Recall=0.7685, F1=0.7265
Class 7: Precision=0.6694, Recall=0.7593, F1=0.7115
Class 8: Precision=0.7052, Recall=0.8194, F1=0.7580
Class 9: Precision=0.6626, Recall=0.7454, F1=0.7015
Class 10: Precision=0.7261, Recall=0.7731, F1=0.7489
Class 11: Precision=0.7534, Recall=0.7639, F1=0.7586
Class 12: Precision=0.6246, Recall=0.8472, F1=0.7191
Class 13: Precision=0.6696, Recall=0.6944, F1=0.6818
Class 14: Precision=0.7324, Recall=0.6690, F1=0.6993
{'eval_loss': 1.2132091522216797, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.7123015873015873, 'eval_binary_accuracy': 0.7123015873015873, 'eval_precision': 0.7013246741872372, 'eval_micro_precision': 0.7123015873015873, 'eval_recall': 0.7498456790123457, 'eval_micro_recall': 0.7123015873015873, 'eval_f1': 0.7223207865984425, 'eval_micro_f1': 0.7123015873015873, 'eval_runtime': 6.7527, 'eval_samples_per_second': 895.641, 'eval_steps_per_second': 3.554, 'epoch': 18.0}
Class 0: Precision=0.7033, Recall=0.8009, F1=0.7489
Class 1: Precision=0.7038, Recall=0.8472, F1=0.7689
Class 2: Precision=0.7222, Recall=0.7222, F1=0.7222
Class 3: Precision=0.7356, Recall=0.7083, F1=0.7217
Class 4: Precision=0.7065, Recall=0.6574, F1=0.6811
Class 5: Precision=0.7395, Recall=0.7361, F1=0.7378
Class 6: Precision=0.6736, Recall=0.7546, F1=0.7118
Class 7: Precision=0.7216, Recall=0.6481, F1=0.6829
Class 8: Precision=0.7628, Recall=0.7593, F1=0.7610
Class 9: Precision=0.6840, Recall=0.7315, F1=0.7069
Class 10: Precision=0.7583, Recall=0.7407, F1=0.7494
Class 11: Precision=0.7853, Recall=0.6944, F1=0.7371
Class 12: Precision=0.6377, Recall=0.7824, F1=0.7027
Class 13: Precision=0.6805, Recall=0.7593, F1=0.7177
Class 14: Precision=0.7287, Recall=0.7017, F1=0.7150
{'eval_loss': 1.2810064554214478, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.7202380952380952, 'eval_binary_accuracy': 0.7202380952380952, 'eval_precision': 0.7162302120569887, 'eval_micro_precision': 0.7202380952380952, 'eval_recall': 0.7362874779541447, 'eval_micro_recall': 0.7202380952380952, 'eval_f1': 0.7243463248698454, 'eval_micro_f1': 0.7202380952380952, 'eval_runtime': 6.7493, 'eval_samples_per_second': 896.093, 'eval_steps_per_second': 3.556, 'epoch': 19.0}
{'loss': 0.2445, 'learning_rate': 1.282442748091603e-05, 'epoch': 19.23}
Class 0: Precision=0.7512, Recall=0.7407, F1=0.7459
